"day","slot","scheduled_at_jst","type","theme","text","thread_json","cta","asset","claim_status"
"26","昼","2026-09-27 13:00 Asia/Tokyo","example_question","障害時の判断","購入後の案内が届かないと分かったら、告知を続けるより販売を一時停止して確認する。

売ることより、約束した体験を渡せることが先です。

あなたは、どの状態なら告知を止めますか？","[]","問いかけ","テキストのみ","general_guidance"
"26","夜","2026-09-27 20:00 Asia/Tokyo","build_log","発売日の記録","開発メモ。

発売日は、投稿数より記録を残す。

・確認時刻
・確認した画面
・問題の有無
・停止や修正の判断

『動いたはず』ではなく、確認できたことだけを書く。","[]","なし","運用ログ例（任意）","process_note"
"27","朝","2026-09-28 09:00 Asia/Tokyo","thread","小さな販売開始","1〜3人運営で、教材や有料コミュニティを小さく案内する10ステップ。

大きな発売演出より、確認できる範囲で始めます。ステップ1からステップ10まで、残りはツリーで。","[""1/10\nステップ1｜対象を絞る。\n\n最初に届けたい状況を一つ決め、全員向けの表現を避けます。"",""2/10\nステップ2｜約束を絞る。\n\n何を助け、何は保証しないかを販売ページに書きます。"",""3/10\nステップ3｜無料発信で判断基準を渡す。\n\n購入しなくても役立つ内容を先に共有します。"",""4/10\nステップ4｜Telegramの役割を示す。\n\n何が、どの頻度で届くか。退出方法も案内します。"",""5/10\nステップ5｜価格と条件を公開する。\n\n追加費用、更新、解約、返金を購入前に読める場所へ置きます。"",""6/10\nステップ6｜購入後の流れを準備する。\n\n決済後の案内、納品、権限付与、問い合わせ先を順に確認します。"",""7/10\nステップ7｜公開前に承認する。\n\n投稿文、リンク、価格、開始日時を見直し、未確認なら公開しません。"",""8/10\nステップ8｜小さく案内する。\n\n守れる配信頻度と質問範囲で始め、運営人数を超える約束をしません。"",""9/10\nステップ9｜反応と提供状態を記録する。\n\n表示回数や売上だけでなく、質問、離脱点、納品失敗、返金も残します。"",""10/10\nステップ10｜問題を一つ直す。\n\n売上を保証する方法ではなく、無理なく検証を続ける手順です。次回は確認できた問題を一つだけ改善します。""]","保存","スレッド用表紙画像（任意）","general_guidance"
"27","昼","2026-09-28 13:00 Asia/Tokyo","example_question","小さく始める範囲","最初から毎日配信、無制限質問、複数コースを約束しない。

週1回のテーマ、質問範囲、更新日を決めて始める選択もあります。

あなたの運営人数で、確実に守れる約束はどこまでですか？","[]","問いかけ","テキストのみ","general_guidance"
"27","夜","2026-09-28 20:00 Asia/Tokyo","sales_cta","小さく整える商品","大きな成功談ではなく、対象・範囲・進め方を一つずつ整えたい方へ。

教材と有料コミュニティの内容、質問範囲、利用条件をプロフィールにまとめています。説明を読んで合うと感じた方だけ、お選びください。","[]","直接販売","商品案内カード（任意）","offer_invitation_no_outcome_claim"
"28","朝","2026-09-29 09:00 Asia/Tokyo","checklist","販売後レビュー","販売後に分けて見る数字と声。

・投稿の表示／保存／返信
・プロフィールへの移動
・案内ページの閲覧
・購入／離脱
・質問／返金／解約

一つの数字だけで原因を決めず、流れごとに確認します。","[]","保存","販売後レビュー図（任意）","general_guidance"
"28","昼","2026-09-29 13:00 Asia/Tokyo","example_question","解釈と事実","閲覧は多いが購入が少ない。

価格が原因とは限りません。対象、内容、条件、導線、タイミングなど候補を分け、質問や実データで確かめる。

あなたなら、最初に何を確認しますか？","[]","問いかけ","テキストのみ","general_guidance"
"28","夜","2026-09-29 20:00 Asia/Tokyo","build_log","一度に一変更","開発メモ。

次の販売で変えるのは一つだけ。

・冒頭の対象者
・目次の見せ方
・Telegram案内
・FAQの順番

同時に全部変えると、何が影響したか分かりにくい。","[]","なし","変更記録シート（任意）","process_note"
"29","朝","2026-09-30 09:00 Asia/Tokyo","checklist","導線監査","30分でできる販売導線監査。

□ Xプロフィールの説明
□ 固定投稿の対象者
□ Telegramへ進む理由
□ 販売ページの内容と条件
□ 購入後の開始手順
□ 問い合わせ・停止方法

入口から終了まで、同じ約束か確認します。","[]","保存","導線監査チェック画像（任意）","general_guidance"
"29","昼","2026-09-30 13:00 Asia/Tokyo","example_question","説明の一貫性","Xでは初心者向け、販売ページでは経験者向け。
Telegramでは毎日配信と書き、別ページでは週1回。

こうした違いは購入判断を難しくします。あなたの導線で、表現がずれている場所はありませんか？","[]","問いかけ","テキストのみ","illustrative_example"
"29","夜","2026-09-30 20:00 Asia/Tokyo","cta","無料資料への案内","X、Telegram、決済、納品、権限、返金までをまとめて点検したい方へ。

無料資料『販売事故・売上漏れ10項目診断』で、未確認工程を一つずつ洗い出せます。

無料資料をダウンロード：
{{LEAD_MAGNET_URL}}?utm_source=x&utm_medium=organic&utm_campaign=30_day_calendar&utm_content=day29_night","[]","無料資料","『販売事故・売上漏れ10項目診断』チェック画面画像（任意）","free_resource_invitation"
"30","朝","2026-10-01 09:00 Asia/Tokyo","education","30日後の振り返り","30日発信した後に残したいもの。

・反応があった判断基準
・繰り返し届いた質問
・説明が難しかった条件
・守れた運営頻度
・次月にやめること

投稿本数より、次の設計に使える学びを残します。","[]","保存","30日レビュー画像（任意）","general_guidance"
"30","昼","2026-10-01 13:00 Asia/Tokyo","example_question","次月の焦点","次月に増やす投稿を決める前に、やめる投稿を一つ決める。

対象が曖昧だった。質問につながらなかった。今の商品の範囲外だった。

あなたが次月に減らしたい発信は何ですか？","[]","問いかけ","テキストのみ","general_guidance"
"30","夜","2026-10-01 20:00 Asia/Tokyo","sales_cta","次の30日への案内","30日分の発信を、思いつきではなく商品設計とつなげたい方へ。

自分で順番に進める教材と、問いを持ち寄る有料コミュニティを案内しています。内容・対象・条件をご確認のうえ、必要な方はプロフィールからご覧ください。","[]","直接販売","30日ロードマップ画像（任意）","offer_invitation_no_outcome_claim"
